City ID,Date,Country,City,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
240,2021-04-16,CN,Linxia Chengguanzhen,66,44.83,3.22,31,35.6003,103.2064
241,2021-04-16,IN,Tezu,82,76.33,4.59,36,27.9167,96.1667
242,2021-04-16,RU,Verkhoyansk,85,6.49,5.79,93,67.5447,133.385
243,2021-04-16,SB,Buala,76,79.59,3.47,84,-8.145,159.5921
244,2021-04-16,NA,Bethanien,20,75.13,16.91,28,-26.502,17.1583
245,2021-04-16,TR,Erzin,66,71.01,4.63,49,36.9559,36.2
246,2021-04-16,BO,Mizque,53,75.67,6.08,46,-17.941,-65.3402
247,2021-04-16,GB,Great Yarmouth,0,48.99,11.5,46,52.6083,1.7305
248,2021-04-16,SD,Umm Kaddadah,3,83.95,11.7,6,13.6017,26.6876
249,2021-04-16,NC,Koumac,43,75.11,10.49,84,-20.5667,164.2833
250,2021-04-16,MX,Santander Jiménez,21,91.22,7.25,46,24.2167,-98.4667
251,2021-04-16,JP,Kadoma,100,57.99,6.33,54,34.7333,135.5833
252,2021-04-16,RE,Saint-Philippe,0,78.8,4.61,78,-21.3585,55.7679
253,2021-04-16,TZ,Liwale,92,69.51,4.43,97,-9.7667,37.9333
254,2021-04-16,BW,Serowe,25,75.06,6.35,31,-22.3833,26.7167
255,2021-04-16,AU,Hervey Bay,1,66.99,1.01,86,-25.2986,152.8535
256,2021-04-16,MX,Matamoros,20,84.99,5.35,10,25.5333,-103.25
257,2021-04-16,UY,Juan Lacaze,20,72.0,4.61,83,-34.4342,-57.4381
258,2021-04-16,PT,Ribeira Grande,75,62.6,16.11,100,38.5167,-28.7
259,2021-04-16,ES,Teguise,40,73.4,21.85,56,29.0605,-13.564
260,2021-04-16,PH,Marawi,100,77.0,5.99,88,7.9986,124.2928
261,2021-04-16,US,Southbridge,100,36.0,12.12,98,42.0751,-72.0334
262,2021-04-16,US,Lenoir City,95,55.99,5.75,49,35.7973,-84.256
263,2021-04-16,BR,Itarema,88,84.04,14.25,71,-2.9248,-39.9167
264,2021-04-16,KZ,Fort-Shevchenko,6,53.76,9.82,73,44.5086,50.263
265,2021-04-16,BR,Salinópolis,99,79.5,9.8,85,-0.6136,-47.3561
266,2021-04-16,US,Kingman,20,62.6,5.75,16,35.1894,-114.053
267,2021-04-16,ID,Balikpapan,99,77.76,6.89,84,-1.2675,116.8289
268,2021-04-16,NO,Lakselv,75,44.6,24.16,65,70.0513,24.9718
269,2021-04-16,IN,Tura,56,74.03,9.84,55,25.5198,90.2201
270,2021-04-16,PE,Zorritos,40,86.0,3.44,66,-3.6805,-80.6782
271,2021-04-16,ID,Meulaboh,95,77.72,4.12,86,4.1363,96.1285
272,2021-04-16,AR,San Vicente,100,75.4,2.26,51,-26.6167,-54.1333
273,2021-04-16,RU,Voyvozh,99,35.26,8.03,85,62.892,54.9635
274,2021-04-16,KH,Lumphat,54,74.66,2.48,93,13.4878,106.9816
275,2021-04-16,RU,Igrim,100,27.64,6.49,79,63.1906,64.4162
276,2021-04-16,RU,Svetlaya,93,37.27,2.86,91,46.5389,138.3297
277,2021-04-16,CN,Jishou,96,58.28,2.24,91,28.3167,109.7167
278,2021-04-16,LY,Bani Walid,43,94.41,24.09,6,31.7566,13.9942
279,2021-04-16,US,Fairbanks,1,34.0,0.51,86,64.8378,-147.7164
280,2021-04-16,AO,Menongue,60,69.85,3.29,56,-14.6585,17.691
281,2021-04-16,IT,Porto Empedocle,38,55.0,1.01,58,37.2934,13.5264
282,2021-04-16,PH,Callaguip,13,81.41,3.2,72,18.0714,120.4867
283,2021-04-16,IR,Tonekābon,20,60.8,2.3,72,36.8163,50.8738
284,2021-04-16,CN,Yashan,91,75.0,3.87,90,22.1975,109.9419
285,2021-04-16,ID,Pemangkat,99,77.77,3.85,85,1.1667,108.9667
286,2021-04-16,ML,Goundam,96,106.14,0.63,10,16.4145,-3.6708
287,2021-04-16,FR,Arrondissement de Provins,100,48.0,5.99,52,48.5833,3.1667
288,2021-04-16,NG,Kafanchan,64,91.62,11.81,30,9.5833,8.3
289,2021-04-16,ES,Tías,40,73.4,21.85,56,28.9611,-13.645
290,2021-04-16,GH,Esim,61,83.91,9.55,72,4.8699,-2.2405
291,2021-04-16,AU,Codrington,68,52.3,5.61,67,-38.2667,141.9667
292,2021-04-16,CV,Praia,40,77.0,26.46,57,14.9215,-23.5087
293,2021-04-16,SA,Faya,40,69.8,9.22,28,18.3851,42.4509
294,2021-04-16,RU,Orlik,41,23.49,3.71,83,52.5178,99.825
295,2021-04-16,US,Houma,90,72.0,9.22,88,29.5958,-90.7195
296,2021-04-16,CV,São Filipe,1,72.54,14.36,70,14.8961,-24.4956
297,2021-04-16,CL,Vilcún,0,62.6,5.75,63,-38.65,-72.2333
298,2021-04-16,MA,Nador,75,60.8,6.91,72,35.174,-2.9287
299,2021-04-16,CU,Gibara,48,86.0,5.75,42,21.1097,-76.1317
300,2021-04-16,MU,Souillac,40,77.0,2.3,94,-20.5167,57.5167
301,2021-04-16,ZA,Kruisfontein,25,62.01,5.01,58,-34.0033,24.7314
302,2021-04-16,IN,Bāg,2,89.96,10.8,19,22.3667,74.7667
303,2021-04-16,RU,Ossora,100,15.21,6.04,84,59.2353,163.0719
304,2021-04-16,MX,Tamiahua,64,87.73,6.69,61,21.2667,-97.45
305,2021-04-16,CA,Port Hardy,1,48.2,3.44,76,50.6996,-127.4199
306,2021-04-16,ID,Ambon City,74,80.49,4.54,78,-3.6954,128.1814
307,2021-04-16,TZ,Mgandu,100,62.04,4.25,96,-5.95,34.1333
308,2021-04-16,UZ,Yangi Marg`ilon,6,64.4,2.3,45,40.4272,71.7189
309,2021-04-16,RU,Ust-Kuyga,91,-6.54,2.51,99,70.0167,135.6
310,2021-04-16,US,San Angelo,90,62.6,8.05,94,31.4638,-100.437
311,2021-04-16,RU,Bolshaya Glushitsa,22,54.0,1.99,49,50.2406,43.5908
